Introduction Date,2021_06_09,,,,,,,,
,,,,,,,,,
crabID,startLoc,collectionLocation(Lat/Lon),collectionLocationName,species,assumedStage,photographFile,Chmbr,Pnum,Well
CH06_2021_06_09_SEQ01,73_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,1
CH06_2021_06_09_SEQ02,73_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,1
CH06_2021_06_09_SEQ03,73_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,1
CH06_2021_06_09_SEQ01,73_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,2
CH06_2021_06_09_SEQ02,73_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,2
CH06_2021_06_09_SEQ03,73_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,2
CH06_2021_06_09_SEQ01,73_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,3
CH06_2021_06_09_SEQ02,73_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,3
CH06_2021_06_09_SEQ03,73_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,3
CH06_2021_06_09_SEQ01,73_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,4
CH06_2021_06_09_SEQ02,73_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,4
CH06_2021_06_09_SEQ03,73_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,4
CH06_2021_06_09_SEQ01,73_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,5
CH06_2021_06_09_SEQ02,73_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,5
CH06_2021_06_09_SEQ03,73_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,5
CH06_2021_06_09_SEQ01,73_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,6
CH06_2021_06_09_SEQ02,73_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,6
CH06_2021_06_09_SEQ03,73_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,6,73,6
CH06_2021_06_09_SEQ01,139_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,1
CH06_2021_06_09_SEQ02,139_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,1
CH06_2021_06_09_SEQ03,139_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,1
CH06_2021_06_09_SEQ01,139_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,2
CH06_2021_06_09_SEQ02,139_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,2
CH06_2021_06_09_SEQ03,139_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,2
CH06_2021_06_09_SEQ01,139_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,3
CH06_2021_06_09_SEQ02,139_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,3
CH06_2021_06_09_SEQ03,139_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,3
CH06_2021_06_09_SEQ01,139_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,4
CH06_2021_06_09_SEQ02,139_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,4
CH06_2021_06_09_SEQ03,139_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,4
CH06_2021_06_09_SEQ01,139_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,5
CH06_2021_06_09_SEQ02,139_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,5
CH06_2021_06_09_SEQ03,139_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,5
CH06_2021_06_09_SEQ01,139_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,6
CH06_2021_06_09_SEQ02,139_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,6
CH06_2021_06_09_SEQ03,139_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,6,139,6
CH07_2021_06_09_SEQ01,137_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,1
CH07_2021_06_09_SEQ02,137_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,1
CH07_2021_06_09_SEQ03,137_W1,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,1
CH07_2021_06_09_SEQ01,137_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,2
CH07_2021_06_09_SEQ02,137_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,2
CH07_2021_06_09_SEQ03,137_W2,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,2
CH07_2021_06_09_SEQ01,137_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,3
CH07_2021_06_09_SEQ02,137_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,3
CH07_2021_06_09_SEQ03,137_W3,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,3
CH07_2021_06_09_SEQ01,137_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,4
CH07_2021_06_09_SEQ02,137_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,4
CH07_2021_06_09_SEQ03,137_W4,"48.416585, -122.663184",Rosario Head Beach Dock,Cancer mangister,N/A,N/A,7,137,4
CH07_2021_06_09_SEQ01,137_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,5
CH07_2021_06_09_SEQ02,137_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,5
CH07_2021_06_09_SEQ03,137_W5,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,5
CH07_2021_06_09_SEQ01,137_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,6
CH07_2021_06_09_SEQ02,137_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,6
CH07_2021_06_09_SEQ03,137_W6,"48.416585, -122.663184",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,137,6
CH07_2021_06_09_SEQ01,52_W1,"48.416585, -122.663185",Rosario Head Beach Dock,Brachyura spp.,N/A,N/A,7,52,1
