sequence,species,n_individuals.per.Vial,lifeStage,Chamber,wellLocation,container,collectionDate,preservationDate,preservationMaterial,preservationExpression,collectionLocation,collectionCoordinates(LAT),collectionCoordinates(LON),collectionMaterial
1,poss.C.Magister,1,megMOLT,CH06,W6_64_05,2.5mL,6/16/2021,6/21/2021,EtOH,"""6/21/21_C.magister_CH06_W6_64_05_megamolt_From_Krill_tow""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
2,poss.C.Magister,1,J1_instar,CH06,W6_64_05,2.5mL,6/16/2021,6/21/2021,EtOH,"""6/21/21_C.magister_CH06_W6_64_05_J1_juv_(mega_from_krill_tow)""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
3,poss.C.Magister,1,megMOLT,CH07,W6_121_05,2.5mL,6/16/2021,6/21/2021,EtOH,"""6/21/21_C.magister_CH07_W6_121_05_megamolt_From_Krill_tow""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
4,poss.C.Magister,1,megMOLT,CH07,W6_121_05,2.5mL,6/16/2021,6/21/2021,EtOH,"""6/21/21_C.magister_CH07_W6_121_05_J1_juv_(mega_from_krill_tow)""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
5,poss.C.Magister,1,megMOLT,CH07,W6_93_01,2.5mL,6/16/2021,6/22/2021,EtOH,"""6/22/21_C.magister_CH07_W6_93_01_megamolt_(fromkrilltow)""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
6,poss.C.Magister,1,J1_instar,CH07,W6_93_01,2.5mL,6/16/2021,6/22/2021,EtOH,"""6/22/21_C.magister_CH07_W6_93_01_J1_juv_From_Krill_tow""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
7,poss.C.Magister,1,megMOLT,CH07,W6_93_05,2.5mL,6/16/2021,6/23/2021,EtOH,"""6/23/21_C.magister_CH07_W6_93_05_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
8,poss.C.Magister,1,J1_instar,CH07,W6_93_05,2.5mL,6/16/2021,6/23/2021,EtOH,"""6/23/21_C.magister_CH07_W6_93_05_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
9,poss.C.Magister,1,megMOLT,CH07,W6_92_05,2.5mL,6/16/2021,6/24/2021,EtOH,"""6/24/21_C.magister_CH07_W6_92_05_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
10,poss.C.Magister,1,J1_instar,CH07,W6_92_05,2.5mL,6/16/2021,6/24/2021,EtOH,"""6/24/21_C.magister_CH07_W6_92_05_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
11,poss.C.Magister,1,megMOLT,CH07,W6_109_04,2.5mL,6/16/2021,6/24/2021,EtOH,"""6/24/21_C.magister_CH07_W6_109_04_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
12,poss.C.Magister,1,J1_instar,CH07,W6_109_04,2.5mL,6/16/2021,6/24/2021,EtOH,"""6/24/21_C.magister_CH07_W6_109_04_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
13,poss.C.Magister,1,megMOLT,CH06,W6_130_01,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH06_W6_130_01_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
14,poss.C.Magister,1,J1_instar,CH06,W6_130_01,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH06_W6_130_01_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
15,poss.C.Magister,1,megMOLT,CH07,W6_109_01,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH07_W6_109_01_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
16,poss.C.Magister,1,J1_instar,CH07,W6_109_01,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH07_W6_109_01_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
17,poss.C.Magister,1,megMOLT,CH07,W6_92_02,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH07_W6_92_02_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
18,poss.C.Magister,1,J1_instar,CH07,W6_92_02,2.5mL,6/16/2021,6/25/2021,EtOH,"""6/25/21_C.magister_CH07_W6_92_02_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
19,poss.C.Magister,1,megMOLT,CH06,W6_64_03,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_C.magister_CH06_W6_64_W3_megamolt_from_krill_hunt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
20,poss.C.Magister,1,J1_instar,CH06,W6_64_03,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_C.magister_CH06_W6_64_W3_J1_juv_from_krill_hunt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
21,poss.C.Magister,1,megMOLT,CH07,W6_109_06,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_C.magister_CH07_W6_109_W6_megamolt_krill_hunt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
22,poss.C.Magister,1,J1_instar,CH07,W6_109_06,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_C.magister_CH07_W6_109_W6_krill_hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
23,poss.C.Magister,1,megMOLT,CH07,W6_121_01,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W1_krillhunt_meg_Molt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
24,poss.C.Magister,1,J1_instar,CH07,W6_121_01,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W1_krillhunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
25,poss.C.Magister,1,megMOLT,CH07,W6_121_03,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W3_meg_molt_krillhunt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
26,poss.C.Magister,1,J1_instar,CH07,W6_121_03,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W3_krill_hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
27,poss.C.Magister,1,megMOLT,CH07,W6_121_04,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W4_krill_hunt_meg_molt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
28,poss.C.Magister,1,J1_instar,CH07,W6_121_04,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_121_W4_krill_hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
29,poss.C.Magister,1,J1_instar,CH07,W6_92_01,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_92_W1_instar_krillhunt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
30,poss.C.Magister,1,J1_instar,CH07,W6_92_03,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH07_W6_92_W3_Krill_Hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
31,poss.C.Magister,1,J1_instar,CH06,W6_64_06,2.5mL,6/16/2021,6/28/2021,EtOH,"""6/28/21_poss_C.magister_CH06_W6_64_W6_Krill_Hunt_instar""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
32,poss.C.Magister,1,megMOLT,CH07,W6_109_05,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH07_W6_109_W5_megamolt_""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
33,poss.C.Magister,1,J1_instar,CH07,W6_109_05,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH07_W6_109_W5_J1_juv""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
34,poss.C.Magister,1,megMOLT,CH06,W6_73_02,2.5mL,6/16/2021,6/30/2021,EtOH,"""6/30/21_C.magister_CH06_W6_73_02_megamolt""",PossessionSound,47.938404,-122.323052,SwinomishLightTrap
